HornyBar	55	25	30	0	42	21	21	0	40	20	20	0	72	39	33	0	84	44	40	0	97	55	42	0	90	45	45	0	117	59	58	0	95	51	44	0	89	51	38	0	100	64	36	0	99	57	42	0	67	38	29	0	63	37	26	0	61	28	33	0	30	17	13	0	23	9	14	0	11	4	7	0	1	0	1	0	0	0	0	0	0	0	0	0
DolnyStal	87	49	38	0	87	54	33	0	82	49	33	0	130	79	51	0	129	67	62	0	134	71	63	0	172	91	81	0	147	74	73	0	139	65	74	0	146	81	65	0	111	52	59	0	163	79	84	0	110	49	61	0	95	36	59	0	65	32	33	0	45	14	31	0	36	14	22	0	13	5	8	0	1	0	1	0	1	0	1	0	1	0	1	0
Hubice	29	17	12	0	15	4	11	0	23	8	15	0	22	9	13	0	56	32	24	0	48	25	23	0	43	25	18	0	35	21	14	0	47	20	27	0	56	29	27	0	45	24	21	0	51	31	20	0	23	9	14	0	20	6	14	0	15	8	7	0	18	9	9	0	8	1	7	0	4	2	2	0	1	0	1	0	0	0	0	0	0	0	0	0
Hviezdoslavov	46	28	18	0	37	24	13	0	41	27	14	0	33	16	17	0	41	18	23	0	45	16	29	0	81	43	38	0	62	34	28	0	47	22	25	0	47	24	23	0	31	14	17	0	35	20	15	0	24	11	13	0	17	10	7	0	12	4	8	0	7	1	6	0	5	2	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Jahodna	57	34	23	0	48	25	23	0	66	31	35	0	87	42	45	0	117	64	53	0	100	60	40	0	111	56	55	0	131	76	55	0	129	73	56	0	123	60	63	0	95	46	49	0	104	49	55	0	87	44	43	0	84	35	49	0	51	19	32	0	39	12	27	0	29	9	20	0	17	5	12	0	2	0	2	0	0	0	0	0	0	0	0	0
Janiky	43	19	24	0	35	16	19	0	40	21	19	0	49	25	24	0	60	29	31	0	70	35	35	0	68	30	38	0	83	48	35	0	47	19	28	0	57	31	26	0	66	34	32	0	61	31	30	0	53	24	29	0	41	20	21	0	30	14	16	0	29	10	19	0	16	7	9	0	6	2	4	0	0	0	0	0	1	1	0	0	0	0	0	0
Jurova	26	12	14	0	22	12	10	0	21	10	11	0	27	15	12	0	42	28	14	0	53	24	29	0	34	15	19	0	42	24	18	0	38	17	21	0	41	21	20	0	34	21	13	0	33	13	20	0	22	11	11	0	22	9	13	0	12	5	7	0	19	7	12	0	18	7	11	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klucovec	17	9	8	0	13	7	6	0	16	12	4	0	22	11	11	0	40	18	22	0	23	12	11	0	18	8	10	0	28	16	12	0	31	10	21	0	41	27	14	0	24	15	9	0	16	6	10	0	16	9	7	0	22	7	15	0	19	12	7	0	10	0	10	0	7	4	3	0	5	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
KostolneKracany	48	21	27	0	59	36	23	0	76	39	37	0	84	46	38	0	72	42	30	0	102	45	57	0	106	56	50	0	131	64	67	0	94	46	48	0	89	48	41	0	79	37	42	0	97	45	52	0	80	44	36	0	50	22	28	0	34	16	18	0	21	7	14	0	22	8	14	0	10	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0
KralovicoveKracany	43	22	21	0	56	31	25	0	53	25	28	0	69	28	41	0	63	33	30	0	75	38	37	0	90	40	50	0	101	53	48	0	76	39	37	0	83	44	39	0	72	36	36	0	72	37	35	0	52	23	29	0	45	19	26	0	29	9	20	0	28	9	19	0	21	7	14	0	8	4	4	0	2	0	2	0	1	1	0	0	0	0	0	0
Kutniky	65	41	24	0	55	30	25	0	66	37	29	0	90	47	43	0	82	45	37	0	88	33	55	0	128	65	63	0	135	64	71	0	105	63	42	0	91	44	47	0	81	40	41	0	91	49	42	0	68	32	36	0	45	22	23	0	29	14	15	0	19	7	12	0	16	3	13	0	5	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0
